Song,Artist,Streams,Daily,Release Year
Blinding Lights,The Weeknd,4463658617,1619447,2020
 Shape of You,Ed Sheeran,4018102402,1001507,2017
 Someone You Loved,Lewis Capaldi,3588673578,1506961,2019
As It Was,Harry Styles,3544187311,1611374,2022
Sunflower,Post Malone,3518744128,1337404,2018
Starboy,The Weeknd,3481137472,1897939,2016
One Dance,Drake,3343221259,1329534,2016
STAY,The Kid LAROI,3266446596,1336615,2021
Sweater Weather,The Neighbourhood,3187169593,2976255,2013
Believer,Imagine Dragons,3140449933,1261166,2017
Dance Monkey,Tones And I,3139823510,602667,2019
Heat Waves,Glass Animals,3133817525,1252964,2020
Perfect,Ed Sheeran,3090494929,1172298,2017
rockstar,Post Malone,3029805367,586641,2018
Say You Won't Let Go,James Arthur,2986429659,1281824,2016
lovely,Billie Eilish,2979291308,1408158,2018
Closer,The Chainsmokers,2975681475,773228,2016
Watermelon Sugar,Harry Styles,2834112398,802750,2019
Señorita,Shawn Mendes,2821156041,800936,2019
Something Just Like This,The Chainsmokers,2775000235,1864789,2017
